abstract,title,pmc,pmid,publication_year
"Health Information System (HIS) is considered a unique factor in improving the quality of health care activities and cost reduction, but today with the development of information technology and use of internet and computer networks, patients’ electronic records and health information systems have become a source for hackers. Methods This study aims at checking health information security of three selected medical centers in Iran using AHP fuzzy and TOPSIS compound model. To achieve that security measures were identified, based on the research literature and decision making matrix using experts’ points of view. Results and discussion Among the 27 indicators, seven indicators were selected as effective indicators and Fuzzy AHP technique was used to determine the importance of security indicators. Based on the comparisons made between the three selected medical centers to assess the security of health information, it is concluded that Chamran hospital has the most acceptable level of security and attention in three indicators of “verification and system design, user access management, access control system”, Al Zahra Hospital in two indicators of “access management and network access control” and Amin Hospital in “equipment safety and system design”. In terms of information security, Chamran Hospital ranked first, Al-Zahra Hospital ranked second and Al- Zahra hospital has the third place.",Health Information Security: A Case Study of Three Selected Medical Centers in Iran,3610584,23572861.0,2013
"CONFLICT OF INTEREST: NONE DECLARED Goal The goals of this study are to: a) determine the prevalence of diabetic polyneuropathy (DPNP) in hospitalized patients with diabetes mellitus (DM) type 2; b) determine the frequency of DPNP in hospitalized patients with type 2 DM in relation to gender, duration of diabetes, fasting blood glucose and HbA1c; c) identify the dominant DPNP symptoms and the presence of variable risk factors in hospitalized patients; and d) determine the frequency and motor nerve conduction velocity of n. peroneus (electroneuromyography) in relation to the treatment of type 2 DM in hospitalized patients with DPNP. Material and methods The study was conducted on 141 patients diagnosed with type 2 diabetes who were hospitalized at the Neurological clinic of Clinical Center of Sarajevo University in the period from June 1 2009 to June 1 2010. All patients included in the study were older than 18. Values determined for all subjects are: age, sex, dominant symptoms, duration of type 2 DM, fasting blood glucose, HbA1c, motor conduction velocity of n. peroneus, diabetes risk factors (hyperlipidemia, hypertension, smoking, alcoholism, obesity) and DM treatment type. Results Of 141 patients with type 2 DM, DPNP was confirmed in 50 patients (35.5%). Men were slightly more represented in the total sample (51.8%). In a sample of patients with DPNP, there were slightly more male patients (n=26; 52%). The average age of patients with DPNP was higher in men (58.3±12.5) (p<0.05). The average age of the patients with DPNP was 55.1± 13.2. Average values of fasting glucose was higher in the group of patients with DPNP (11.032±5.4 mmol/l) compared to patients without DPNP (9.7±2.8 mmol/l) (p<0.05). Mean values of HbA1C were higher in patients with DPNP (8.212±3.3%) compared to patients without DPNP (6.9±2.6%) (p<0.05). Analysis of DM duration between patients with and without DPNP did not show statistically significant difference (chi-square=3.858, p>0.05). In both groups, most of the patients had duration of DM over 10 years, with a minimum duration of DM of 12 months. There are statistically significant differences in applied DM therapy by gender (chi-square=11.939, p<0.05). Hypertension was more frequent in women (79.2%:69.2%), hyperlipidemia was equally presented in both sexes (50%:50%), obesity was more prevalent among women (25%:7.7%), while alcoholism and smoking were more frequent in men (7.7%:0%; 34.6%:8.3%). There are statistically significant differences in the prevalence of risk factors by gender (chi-square=10.013, p<0.05). Conclusions The DPNP incidence was higher in patients with longer duration of the disease, but without significant gender differences. Fasting blood glucose and HbA1c were significantly higher in patients with DPNP compared to patients without DPNP (p<0.05). The dominant symptoms of DPNP were paresthesia (44%) and hypoesthesia (28%). Regarding variable risk factors, the most common were hypertension and hyperlipidemia, without statistical significance in gender distribution, while smoking was significantly more common in men than women (34.6%:8.3%). DPNP was present in 43.2% of men who use insulin therapy, while 54.2% of women with DPNP used oral therapy. The lowest frequency of DPNP was found in patients treated with combined therapy. Motor conduction velocity of n. peroneus was significantly lower in men using insulin therapy and/or combined therapy (p<0.05), whereas in patients on oral therapy there was no significant gender difference. Timely DM type 2 diagnosis with proper treatment and electromyoneurographic monitoring (especially in older men) can prevent onset of diabetic polyneuropathy and contribute to its successful treatment.","Assessment of Diabetic Polyneuropathy in Inpatient Care: Fasting Blood Glucose, HbA1c, Electroneuromyography and Diabetes Risk Factors",3766543,24039336.0,2013
"CONFLICT OF INTEREST: NONE DECLARED Introduction The collection of platelets by apheresis is considered as a very great progress in transfusion medicine. A larger yield (total number of collected platelets) is obtained if the donor has a greater number of initial platelets and if the separation is done in a shorter time. One of the parameters is also the efficiency of the platelet collection (expressed in percentage) on the value of which different factors may have direct or indirect influence. Aims To calculate the efficiency of platelet collection with the separator Fenval Baxter AMICUS and to compare the efficiency of platelet collection with this separator in relation to the initial value of donor hematocrit. Donors and Methods The donors who participated in this study were divided into groups according to the value of the donor’s ‘hematocrit before separation. Group C consisted of donors whose initial value of the hematocrit was lower or equal to 46%. Group D consisted of donors whose initial value of the hematocrit was higher than 46%. The process was carried out on Fenval Baxter AMICUS. The expected efficiency of the collection was obtained by dividing the total number of collected cells by the expected total number of processed cells, i.e. the total number of cells passed through the equipment. Results In the 258 separations which satisfied the fixed criteria were men in 226 cases (87.6%) and women in 32 (12.4%). There is a statically significant difference in the platelet value between the groups and this value is higher in group D than in group C. The average value of platelets before separation was 46.66. The range of minimal and maximal value is from 38.8 to 52.4 ±2.78. The initial value of hematocrits of the donor does not intervene in the length of the separation, but it has a significant effect on the efficiency of the platelet collection. Increases in the number of hematocrits significantly decrease the efficiency of platelet collection. In practice it means that we can base on this fact make a better selection of donors. In this kind selection, one should prefer a donor with a higher number of initial platelets and lower levels of hematocrits. In that way we can collect a more important yield, have a shorter length of separation and increase the efficiency of platelet collection. Its advantage is as well medical because of a more important yield but also financial because of the decrease of the length of the separation and the increase in efficiency. Key words: value of hematocrits, donors, apheresis, platelets, efficiency.",Initial Values of Donor Hematocrit and Efficiency of Plateletpheresis,3766539,24058252.0,2013
"Objective: In this work, role of the adrenergic nerve system (alpha 1  and beta 2 ) in adjustment of the bronchomotor tonus in healthy people was researched. Methods: Parameters of the lung function are determined by Body plethysmography. Raw and ITGV were registered and SRaw was calculated as well. Aerosolization is done with standard aerosolizing machines – Asema. Results: Results gained shows that following the blockade of beta- 2  adrenergic receptor with Propranolol (20 mg–aerosol), stimulation of alpha adrenergic receptor with Oxedrine (120 mg-aerosol) and blockage of these receptors with Tolazoline (20 mg-aerosol), does not change significantly the bronchomotor tonus of the tracheobronchial tree (p > 0.1). Meanwhile, stimulation of the beta -2  adrenergic receptor with Hexoprenaline (2 inh × 0.2 mg) is associated with a significant increase of the peripheral resistance of the airways (p < 0.01). Conclusion: This suggests that the activity of the alpha 1 -adrenergic receptor, unlike the activity of the beta 2 -adrenergic receptor in the healthy people smooth musculature, is not significant and as such is insufficient to oppose to the tonic activities of the cholinergic system.",Activity of the Adrenergic Nerve System in the Airways Permeability of Healthy Persons,3916168,24554803.0,2013
"Recently many international initiatives have been developed to improve access to scientific information and to promote open data sharing. In the complex field of bioresources, the BRIF (Bioresource Research Impact Factor) project aims to create suitable methods to recognise and measure the use and impact of biological resources in scientific/academic work, in order to maximize access by researchers to collections of biological materials and attached databases, and to recognize efforts involved in their maintenance. The lack of a proper recognition of scientific contribution is in fact a major obstacle which impedes bioresource sharing. In this context, the BRIF initiative can be considered as a tool to facilitate research resource sharing.",Open Data Sharing in the Context of Bioresources,3916190,24554808.0,2013
"Introduction Hospital managers and personnel need to Hospital Information System (HIS) to increase the efficiency and effectiveness in their organization. Accurate, appropriate, precise, timely, valid information, and Suitable Information system for their tasks is required and the basis for decision making in various levels of the hospital management, since, this study was conducted to Assess of Selected HIS in Isfahan University of Medical Science Hospitals According to ISO 9241-10. Methods This paper obtained from an applied, descriptive cross sectional study, in which the medical records module of IUMS selected HIS in Isfahan University of Medical Science affiliated seven hospitals were assessed with ISO 9241-10 questionnaire contained 7 principles and 74 items. The obtained data were analyzed with SPSS software and descriptive statistics were used to examine measures of central tendencies. Results The analysis of data revealed the following about the software: Suitability for user tasks, self descriptiveness, controllability by user, Conformity with user expectations, error tolerance, suitability for individualization, and suitability for user learning, respectively, was 68, 67, 70, 74, 69, 53, and 68 percent. Total compliance with ISO 9241-10 was 67 percent. Conclusion Information is the basis for policy and decision making in various levels of the hospital management. Consequently, it seems that HIS developers should decrease HIS errors and increase its suitability for tasks, self descriptiveness, controllability, conformity with user expectations, error tolerance, suitability for individualization, suitability for user learning.",Assessment of Medical Records Module of Health Information System According to ISO 9241-10,3612430,23572860.0,2013
"CONFLICT OF INTEREST: NONE DECLARED Introduction Keywords are the most important tools for Information retrieval. They are usually used for retrieval of articles based on contents of information reserved from printed and electronic resources. Retrieval of appropriate keywords from Medical Subject Headings (MeSH) can impact with exact, correctness and short time on information retrieval. Regarding the above mentioned matters, this study was done to compare the Latin keywords was in the articles published in the Journal of Mazandaran University of Medical Sciences. Method This is a descriptive study. The data were extracted from the key words of Englsih abstracts of articles published in the years 2009–2010 in the Journal of Mazandaran University of Medical Sciences by census method. Checklist of data collection is designed, based on research objectives and literature review which has face validity. Compliance rate in this study was to determine if the keywords cited in this article as a full subject of the main subject headings in a MeSH (Bold and the selected word) is a perfect adjustment. If keywords were cited in the article but the main heading is not discussed in the following main topics to be discussed with reference to See and See related it has considered has partial adjustment. Results Out of 148 articles published in 12 issues in proposed time of studying, 72 research papers were analyzed. The average numbers of authors in each article were 4 ± 1. Results showed that most of specialty papers 42 (58. 4%), belonging to the (Department of Clinical Sciences) School of Medicine, 11 (15.3%) Basic Science, 6(8.4%) Pharmacy, Nursing and Midwifery 5(6.9%), 4(5.5%) Health, paramedical Sciences 3(4.2%), and non  medical  article 1(1.3%) school of medicine. In general, results showed that 80 (30%) of key words have been used to complete the adjustment. Also, only 1(1.4%) had complete adjustment with all the MeSH key words and in 8 articles(11.4%) key words of had no adjustment with MeSH. Conclusion The results showed that only 17 articles could be retrieved if the search words are selected from the MeSH. In this case the expected 100% of published articles titles at this university the validity of exchange of research projects which is something noteworthy. The lack of correlation between number of authors and matching of Keywords with MeSH, may mean all of the papers’ authors did not take part in writing and it is understanding that only one author wrote the paper.",Survey of Keyword Adjustment of Published Articles Medical Subject Headings in Journal of Mazandaran University of Medical Sciences (2009-2010),3766532,24058249.0,2013
"Introduction: In patients with multiple sclerosis among other symptoms occur cognitive dysfunctions, which can be shown by P300 wave changes. Goal: The aim of this study was to demonstrate that patients with multiple sclerosis have reduced amplitude and prolonged latency, longer than 300 ± 10 ms. Methods: The study included group of patients with multiple sclerosis and control group. After reviewing the medical records both groups of 14 participants were subjected to the same testing procedures auditory cognitive potentials (P300). Results: We have shown that patients with multiple sclerosis don’t have prolonged P300 target stimulus latency, but they have a longer P300 frequent stimulus latency for 18 ms. From 14 patients seven had a pathological P300 target stimulus amplitude, and even 12 patient had pathological P300 frequent stimulus amplitude. Conclusion: People with multiple sclerosis have altered P300 which indicates the presence of cognitive dysfunction in these patients.",P300 Wave Changes in Patients with Multiple Sclerosis,3804499,24167393.0,2013
"Introduction and aim: To present the basic principles and standards of scientific communication and writing a paper, to indicate the importance of honesty and ethical approach to research and publication of results in scientific journals, as well as the need for continuing education in the principles and ethics in science and publication in biomedicine. Methods: An analysis of relevant materials and documents, sources from the internet and published literature and personal experience and observations of the author. Results: In the past more than 20 years there is an increasingly emphasized importance of respecting fundamental principles and standards of scientific communication and ethical approach to research and publication of results in peer review journals. Advances in the scientific community is based on honesty and equity of researchers in conducting and publishing the results of research and to develop guidelines and policies for prevention and punishment of publishing misconduct. Today scientific communication standards and definitions of fraud in science and publishing are generally consistent, but vary considerably policies and approach to ethics education in science, prevention and penal policies for misconduct in research and publication of results in scientific journals. Conclusion: It is necessary to further strengthen the capacity for education and research, and raising awareness about the importance and need for education about the principles of scientific communication, ethics of research and publication of results. The use of various forms of education of the scientific community, in undergraduate teaching and postgraduate master and doctoral studies, in order to create an ethical environment, is one of the most effective ways to prevent the emergence of scientific and publication dishonesty and fraud.",Principles and Ethics in Scientific Communication in Biomedicine,3905721,24505166.0,2013
"Introduction: Atrioventricular septal defect with common atrioventricular junction is a rare adult congenital cardiac syndrome. This occurrence with prolonged survival is exceptionally rare. Case report: We present the case of a patient who presented with this defect with common atrioventricular junction who survived to the age of 32. We describe a 32-year-old man with atrioventricular septal defect with common atrioventricular junction guarded by a common valve. His history, clinical course, and anatomic findings are discussed along with the factors which may have contributed to his longevity, which is unique in the medical literature. His management reflected the state of medical knowledge at the time when he presented, and although alternate approaches may have been utilized if the patient presented today. We discuss the findings, frequency, classifi cation, and management of congenital defects. Development of embryonic structure is altered by interaction between genetics and environmental factors toward a rare associated of congenital cardiac defects-complex congenital heart disease. Conclusion: This case demonstrates that patients with very complex congenital cardiac disease may survive to adulthood, presenting challenges in both medical and surgical treatment.",Atrioventricular Septal Defect with Common Atrioventricular Junction Guarded by a Common Valve Consisting of Left Atrioventricular Trifoliate Valve,3916159,24554809.0,2013
